order_id,user_id,order_timestamp,product_id,product_name,product_category,quantity,item_price,is_reorder,days_since_last_order
d722cf1b-796f-4fc6-96db-d900b543ddd9,0320f2f0-31b1-4166-be84-e0be7183b35a,2026-03-20T15:49:14.801Z,a9eb6d29-1c3e-412e-9478-70d1fd78be17,Practical Plastic Pizza,Beauty,1,50.39,false,215
f2e03206-1ada-42e3-832d-8643a009fce7,847a7352-210c-4167-b87e-b556ad6520eb,2025-05-27T05:54:03.308Z,71396241-d103-460c-8976-00a72637b832,Luxurious Concrete Sausages,Jewelry,1,46.19,true,348
caff3faf-334c-45be-8b3d-9726d7e716d6,14c5bf5f-6962-4b3a-b8c8-e05276fe20c4,2026-01-05T14:25:38.415Z,0437f39a-523c-426e-8c70-f21e38808f6a,Bespoke Cotton Pants,Books,4,18.16,true,110
13ca2a7e-66e0-47d2-820e-2458f721dfc6,8fddc70b-deea-49ea-aa79-f3e27cf32a20,2025-05-06T15:03:04.387Z,121ef45a-0c7e-493c-a3f5-9c5089c9d1eb,Oriental Bamboo Chair,Baby,2,188.55,false,210
e7f11166-b90b-4e1b-aba0-b3c7aaf68fd5,3704eaf3-60dd-4586-a55d-06454db0fe75,2025-09-20T19:10:53.985Z,6f8844d1-69e2-40b8-a7d8-3e479cc3e7ea,Handcrafted Concrete Computer,Clothing,5,20.25,false,257
889a14db-ecc2-4258-92cf-6726232a6f42,e480f86c-1d3e-4fef-aa7d-b45901c38067,2025-10-24T07:35:36.287Z,3d4f98d8-fb27-4068-ba5e-01b4947d310a,Electronic Plastic Pizza,Outdoors,3,125.45,true,298
129861c1-31d7-4eb0-bd88-5f08927dfe3c,eaae2861-6f0e-4968-b089-7ca951dbb1df,2026-04-21T01:10:39.544Z,23871b0e-8cae-4fce-9049-84222d6b5882,Soft Silk Car,Electronics,3,22.20,false,108
7ffecb53-9598-44fe-948b-69db8ddfe464,d3e82cfa-a8c7-469a-9f4b-809f20793930,2025-11-26T21:53:57.289Z,8e00b949-06ff-49ba-b8e8-cfd8ef68789c,Tasty Rubber Gloves,Computers,4,146.10,true,298
d1075bd2-400f-42c8-af7c-e6b48a4c19d8,300c48e5-f0ac-4718-850b-fb13d3df1fb4,2025-06-27T00:41:08.450Z,b2223392-9e8b-4a8a-b9f3-9ed09b510cf1,Handcrafted Cotton Table,Baby,1,87.95,true,144
20618267-e63c-4fdf-a117-46a12ae98e1f,7fc0841f-3992-4918-8e73-1131ebca06f5,2025-11-10T05:01:39.293Z,5464f2e9-d685-4bb2-bd35-4d4e2fd395d0,Soft Concrete Chicken,Jewelry,3,15.79,true,2
6a1f1fd2-8136-43d5-80b0-6634143d2981,20fb2d5a-7ef1-4304-81c5-a4d71894b1f3,2025-07-30T05:55:17.637Z,b2fe1a9e-d525-4e6e-a205-fb0df7dc58d5,Unbranded Metal Mouse,Industrial,1,2.29,false,314
0b0a7b87-3341-4dbb-9a7c-7ad23d16f76c,79a13e61-4146-4ff7-b65e-84d23d45376d,2026-01-26T12:08:29.728Z,31493a3a-9b4b-40c6-b1b8-742e915c6b48,Soft Gold Shirt,Games,4,96.70,true,300
d3dc791f-3d27-47ac-8b8a-7395d05b0982,c8eb0a2f-95cc-4fb5-a566-753b0932b58e,2026-04-01T14:10:49.147Z,85a80463-1f8e-4d3b-be78-54c55a86d736,Handcrafted Rubber Table,Tools,3,25.49,false,320
7277e84d-cc9e-4501-82e8-b4f608de48af,533f5d15-d987-42b5-a532-c70cc33e8e5c,2025-11-12T18:26:56.039Z,f2c1fb39-c675-40b7-98b1-00a4908d5699,Ergonomic Rubber Sausages,Kids,2,123.39,true,184
